IDRenglonVR,IDSubDeterminacionVR,Categoria,ValoresNormales,InformarUnidades
3364,4954,Valor de referencia:,"Hasta 20,0",1
3365,4623,Adultos:,4.500 a 11.000,1
3366,4956,Valor limite para IM:,"50,0",1
3367,4957,Rango terapeutico:,164 - 240,1
3368,4958,Valor de referencia:,4171 - 10881,1
3369,4959,Valor de referencia:,"Hasta 0,5",1
3370,4959,Nivel critico:,"1,00",1
3371,4960,No expuestos:,Menor a 10,1
3372,4960,BEI:,Hasta 35,1
3373,4961,Valor de referencia:,"Hasta 0,5",1
3374,4962,Valor de referencia:,"Hasta 0,5",1
3375,4963,Valor normal:,1 a 10,1
3376,4965,Insuficiencia cardiaca poco probable,,0
3377,4896,Valor de referencia:,"Hasta 0,23",1
3378,4966,Valores de referencia:,"De 0,78 a 2,00",1
3379,4968,Valor de Referencia:,50-150,1
3380,4969,Valores de Referencia:,70 a 120,1
3381,4970,Valores de Referencia:,70-120,1
3382,4971,Valores de Referencia:,50-150,1
3383,4972,Valores de referencia:," 70-10",1
3384,4973,Negativo:,Menor de 4,1
3385,4973,Positivo debil:,4-10,1
3386,4973,Positivo:,Mayor de 10,1
3387,4974,Valores de referencia:,"De 0,78 a 2,00",1
3388,4975,Negativo:,Menor de 4,1
3389,4975,Positivo débil:,4-10,1
3390,4975,Positivo:,Mayor de 10,1
3391,4976,Valores de referencia:,"De 0,78 a 2,00",1
3392,4977,Negativo:,Menor de 20,1
3393,4977,Positivo débil:,20-30,1
3394,4977,Positivo moderado-fuerte,Mayor de 30,1
3395,4978,Valor de corte:,dil 1/10,1
3396,4979,Valores de Referencia:,70 a 120,1
3397,4980,Rango Dinamico:,10 - 10.000.000.000,1
3398,4981,Interpretacion:,,0
3399,4981,Negativo:,"< 0,9",1
3400,4981,Indeterminado:,"0,9 - 1,1",1
3401,4981,Positivo:,"> 1,1",1
3402,4982,Interpretacion:,,0
3403,4982,Negativo:,"< 0,9",1
3404,4982,Indeterminado:,"0,9 - 1,1",1
3405,4982,Positivo:,"> 1,1",1
3406,4983,Valor de referencia:,Hasta 500,1
3409,5001,Hombres:,Mayor de 30,1
3410,5001,Mujeres:,Mayor de 35,1
3411,2599,,Limite cuantificación: 5,1
3412,5002,Clase 0:,Ausencia,1
3413,5003,Clase 0:,Ausencia,1
3414,5004,Caninos:,"5,0 a 8,0 mill",1
3415,5005,Caninos:,37 a 55,1
3416,5006,Caninos:,12 a 18,1
