IDAdicionalAplicado,IDProtocolo,IDAdicional,IDObraSocial,MontoFijo,PorcentajeSP
742,663,3,50,0,0
743,664,1,9,0,0
744,664,2,9,0,0
745,664,3,9,0,0
746,665,1,4,0,0
747,665,2,4,0,0
748,665,3,4,0,0
749,666,1,34,0,0
750,667,1,4,0,0
751,668,1,4,0,0
752,669,1,4,0,0
753,670,1,4,0,0
754,671,1,4,0,0
755,672,1,7,0,0
756,672,2,7,0,0
757,672,3,7,0,0
758,673,1,1,0,0
759,673,2,1,0,0
760,673,3,1,0,0
761,674,1,9,0,0
762,674,2,9,0,0
763,674,3,9,0,0
764,675,1,9,0,0
765,675,2,9,0,0
766,675,3,9,0,0
767,676,1,6,0,0
768,676,2,6,0,0
769,676,3,6,0,0
770,677,1,6,0,0
771,677,2,6,0,0
772,677,3,6,0,0
773,678,1,4,0,0
774,678,2,4,0,0
775,678,3,4,0,0
779,680,1,1,0,0
780,681,1,7,0,0
781,682,1,9,0,0
782,683,1,24,0,0
783,684,1,7,0,0
784,685,1,1,0,0
785,686,1,4,0,0
786,686,2,4,0,0
787,686,3,4,0,0
788,687,1,43,0,0
789,687,2,43,0,0
790,687,3,43,0,0
791,688,1,4,0,0
792,688,2,4,0,0
793,688,3,4,0,0
794,689,1,4,0,0
795,689,2,4,0,0
796,689,3,4,0,0
797,690,1,4,0,0
798,690,2,4,0,0
799,690,3,4,0,0
800,691,1,4,0,0
801,691,2,4,0,0
802,691,3,4,0,0
803,692,1,4,0,0
804,692,2,4,0,0
805,692,3,4,0,0
806,693,1,4,0,0
807,694,1,4,0,0
808,695,1,4,0,0
809,696,1,4,0,0
810,697,1,9,0,0
811,698,1,4,0,0
812,698,2,4,0,0
813,698,3,4,0,0
814,699,1,4,0,0
815,699,2,4,0,0
816,699,3,4,0,0
817,700,1,4,0,0
818,700,2,4,0,0
819,700,3,4,0,0
820,701,1,7,0,0
821,701,2,7,0,0
822,701,3,7,0,0
823,702,1,4,0,0
824,702,2,4,0,0
825,702,3,4,0,0
826,703,1,4,0,0
827,704,1,4,0,0
828,705,1,4,0,0
829,706,1,9,0,0
830,706,2,9,0,0
831,706,3,9,0,0
832,707,1,4,0,0
833,707,2,4,0,0
834,707,3,4,0,0
835,708,1,4,0,0
836,710,1,4,0,0
837,712,1,4,0,0
838,713,1,1,0,0
839,714,1,4,0,0
840,715,1,4,0,0
841,716,1,4,0,0
842,717,1,4,0,0
843,718,1,9,0,0
844,719,1,4,0,0
845,719,2,4,0,0
846,719,3,4,0,0
847,720,1,4,0,0
848,720,2,4,0,0
849,720,3,4,0,0
850,721,1,4,0,0
851,721,2,4,0,0
852,721,3,4,0,0
853,722,1,4,0,0
854,722,2,4,0,0
855,722,3,4,0,0
856,723,1,4,0,0
857,723,2,4,0,0
858,723,3,4,0,0
859,724,1,4,0,0
860,724,2,4,0,0
861,724,3,4,0,0
862,725,1,4,0,0
863,725,2,4,0,0
864,725,3,4,0,0
865,726,1,4,0,0
866,726,2,4,0,0
867,726,3,4,0,0
868,727,1,4,0,0
869,727,2,4,0,0
870,727,3,4,0,0
871,728,1,4,0,0
872,728,2,4,0,0
873,728,3,4,0,0
874,729,1,4,0,0
875,729,2,4,0,0
876,729,3,4,0,0
877,730,1,4,0,0
878,730,2,4,0,0
879,730,3,4,0,0
880,731,1,50,0,0
881,731,2,50,0,0
882,731,3,50,0,0
883,732,1,4,0,0
884,732,2,4,0,0
885,732,3,4,0,0
886,733,1,4,0,0
887,735,1,4,0,0
